12-19 10:54:49.941 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:54:49.970 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:49.971 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213171.00, 213133.00, 212929.00
12-19 10:54:49.972 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:54:50.006 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.007 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213275.00, 213233.00, 212937.00
12-19 10:54:50.008 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:54:50.038 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.039 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213242.00, 213467.00, 211337.00
12-19 10:54:50.040 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.074 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:54:50.075 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 213359.00, 213598.00, 211623.00
12-19 10:54:50.076 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: CENTER
12-19 10:54:50.106 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
